OBJECTID,FUNC_LOC_I,NAME,ADDRESS,ADDR3,AREA_SQ_M,RFOS_CATEGORY,RFOS_SUB_CATEGORY,MAINTAINED_BY,GlobalID
152803,K-CARNAR,CARNARVON PARK,CARNARVON COURT,PIMPAMA,12119.19,UTILITY RESERVE,DRAINAGE RESERVE,GCCC,b49338f7-6b29-4f1e-909d-90b3b68cdb9f
152804,K-WHITIN,WHITING STREET CORRIDOR,20A BROWN STREET,LABRADOR,8379,UTILITY RESERVE,ACCESS LINKAGE,GCCC,d615a692-4545-47c7-baa6-31278fd8141a
152805,K-WEKAPA,WEKA PARKLANDS,KOPPS ROAD,OXENFORD,27581,OPEN SPACE PARKS,LOCAL RECREATION PARK,GCCC,a78dd56c-0d4a-42b8-9248-20046f4270a4
152806,K-WILL01,WILLIAM CLARK PARK,WOODGEE STREET,CURRUMBIN,344,OPEN SPACE PARKS,AMENITY SPACE,GCCC,8d3e6a72-8d34-4c7a-b021-8b6aec57dac9
152807,K-WESTAV,WEST AVOCADO PARK,256 NINETEENTH AVENUE,ELANORA,859,OPEN SPACE PARKS,AMENITY SPACE,GCCC,6444fe56-687d-40b9-a109-b79c59680c2a
152808,K-STONER,STONER FAMILY PARK,70 MERRIDOWN DRIVE,MERRIMAC,23518,OPEN SPACE PARKS,LOCAL RECREATION PARK,GCCC,919f3aaa-b43a-4a79-80ae-71a31e799438
152809,K-STRA02,STRADBROKE PARK,31 STRADBROKE STREET,BIGGERA WATERS,3202,OPEN SPACE PARKS,LOCAL RECREATION PARK,GCCC,0ed7afcf-60ee-4f06-8a39-2e18342e71a4
152810,K-STRA01,STRADBROKE WATERFRONT PARK,61 STRADBROKE STREET,BIGGERA WATERS,1085,OPEN SPACE PARKS,AMENITY SPACE,GCCC,fbed06f3-80c9-4a36-8366-fad868a699ba
152811,K-STRATH,STRATHMORE COURT RESERVE,11 STRATHMORE COURT,ROBINA,817,UTILITY RESERVE,ACCESS LINKAGE,GCCC,815412ed-0645-4188-a0b9-d35d1bbbb572
152812,K-WONG05,WONGAWALLAN CONSERVATION AREA UPPER COOMERA SECTION,LOT 25 RESERVE ROAD,UPPER COOMERA,1564707.4428438,GOLD COAST CONSERVATION ESTATE,CONSERVATION AREA,GCCC,4bdc3805-60ed-443d-95b9-297c23dfb4b5
152813,K-MUSG02,MUSGRAVE SPORTS PARK,MUSGRAVE AVENUE,SOUTHPORT,42336,SPORTS PARKS,DISTRICT SPORTS PARK,GCCC,25fd9a89-9953-4f7d-b786-7375e1897055
152814,,HINZE DAM NUMINBAH,2641 NERANG MURWILLUMBAH ROAD,NUMINBAH VALLEY,2599449,QUEENSLAND CONSERVATION ESTATE,NATURE REFUGE,EXTERNAL,a0c2bf27-606c-4b2b-b43f-cb5fb5c94ad5
152815,K-TRAN01,TRANQUILITY CIRCUIT RESERVE,TRANQUILITY CIRCUIT,HELENSVALE,6420,GOLD COAST CONSERVATION ESTATE,GENERAL RESERVE,GCCC,e89c1074-0da1-4c10-b576-748a4217162f
152816,K-ANGELI,ANGELICA RESERVE,15 NOLLAMARA DRIVE,ELANORA,695.25,OPEN SPACE PARKS,AMENITY SPACE,GCCC,9be4a7d7-3a43-457f-bec7-af639011cceb
152817,K-ANNABE,ANNABELLE CRESCENT RESERVE,17A ANNABELLE CRESCENT,UPPER COOMERA,5379,UTILITY RESERVE,UTILITY RESERVE,GCCC,798db1ce-b1ce-44c6-bd7c-390490a32c8c
152818,K-ANNETT,ANNETTE KELLERMAN PARK,9 MARKERI STREET,MERMAID BEACH,16206,SPORTS PARKS,SPECIALISED SPORTS PARK,GCCC,0664a7f2-386a-4458-92b9-dad34f299f53
152819,K-PARKSI,PARKSIDE DRIVE RESERVE,PARKSIDE DRIVE,JACOBS WELL,24709.31002014,OPEN SPACE PARKS,LOCAL RECREATION PARK,GCCC,ecf63149-553c-4935-af8c-3d3f51160109
152820,K-WIND01,WINDERADEEN RESERVE,57 WINDERADEEN DRIVE,NERANG,970.5759925,UTILITY RESERVE,DRAINAGE RESERVE,GCCC,31c7b46f-eab8-4b8d-92fb-42881c793fe7
152821,K-OREILL,O'REILLY PARK,O'REILLY DRIVE,COOMERA,25866.44094646,OPEN SPACE PARKS,LOCAL RECREATION PARK,GCCC,6c633a5d-4e4a-4d21-967d-c05c067ebce3
152822,K-HILL01,HILLSBOROUGH RESERVE,0 HILLSBOROUGH PLACE,PIMPAMA,2355.77281401,OPEN SPACE PARKS,OPEN SPACE LINKAGE,GCCC,f026bf7c-259f-4761-855d-0f7cc98fb688
152823,K-BANROC,BANROCK PARK,48 BANROCK STREET,PIMPAMA,436.84441551,OPEN SPACE PARKS,LOCAL RECREATION PARK,GCCC,66a27c8d-3695-4f31-88ac-5e6b974f64fe
152824,K-APPLEB,APPLE BERRY PARK,"0 APPLE BERRY AVENUE, COOMERA, 4209",COOMERA,4684.27694703,OPEN SPACE PARKS,LOCAL RECREATION PARK,GCCC,8fe1e466-3128-4e84-82e2-ca4fb2e2d81f
152825,K-KUMURU,KUMURU-KUMURU PARK,905 WINGS ROAD,UPPER COOMERA,56060.41875244,GOLD COAST CONSERVATION ESTATE,ENVIRONMENTAL RESERVE,GCCC,3b2486f2-97cc-41da-b788-bf4c0321dc94
152826,K-KUMURU,KUMURU-KUMURU PARK,905 WINGS ROAD,UPPER COOMERA,3841.16603543,UTILITY RESERVE,DRAINAGE RESERVE,GCCC,272928a8-de93-4387-b7ea-e95791746475
152827,K-LOWERH,LOWER HALFWAY CREEK PARKLANDS,16 NOTAR DRIVE,ORMEAU,317638.66515413,GOLD COAST CONSERVATION ESTATE,ENVIRONMENTAL RESERVE,GCCC,f2a2f75f-a716-493a-8655-a62a1f1a4e71
152828,K-LOWERH,LOWER HALFWAY CREEK PARKLANDS,ALLOY STREET,YATALA,3291.29,UTILITY RESERVE,DRAINAGE RESERVE,GCCC,a27be522-d633-44fa-a916-4d1d797a78d8
152829,,,,,,,AMENITY SPACE,,52adb66c-16ff-4fc9-a734-c24ca7cd86e0
152830,K-RUFOUS,RUFOUS WHISTLER PARK,RIFLE RANGE ROAD,PIMPAMA,38520.53622464,OPEN SPACE PARKS,LOCAL RECREATION PARK,GCCC,2abfbdb5-df7f-42c8-8e51-36e9389c877b
152831,,,,,,,UTILITY RESERVE,,87b9b750-8bd5-4395-b315-3ee5d36a7d37
152832,K-ROBI01,ROBINA PARKWAY PARK 2,ROBINA PARKWAY,CLEAR ISLAND WATERS,44928,OPEN SPACE PARKS,AMENITY SPACE,GCCC,1ec337c0-97fe-49b0-9c33-6418ec07b724
152833,K-ROBI01,ROBINA PARKWAY PARK 2,ROBINA PARKWAY,CLEAR ISLAND WATERS,44145,OPEN SPACE PARKS,LOCAL RECREATION PARK,GCCC,f360d924-b33b-4733-a30d-72f4de786797
152834,K-COOG02,COOGERA NORTH CONSERVATION RESERVE,RIVER RUN CIRCUIT,ORMEAU HILLS,2035.21231656,UTILITY RESERVE,DRAINAGE RESERVE,GCCC,49877700-5595-4ea4-abb0-3d1a96f71f07
152835,K-COOG02,COOGERA NORTH CONSERVATION RESERVE,RIVER RUN CIRCUIT,ORMEAU HILLS,102274.83195957,GOLD COAST CONSERVATION ESTATE,BUSHLAND RESERVE,GCCC,80581e75-d551-4cf5-b0a2-c96c2db60e5a
152836,K-NIKIFO,NIKIFORIDES FAMILY PARK,SURF PARADE,BROADBEACH,9577,OPEN SPACE PARKS,DISTRICT RECREATION PARK,GCCC,472caca4-ddd5-4d1d-aee7-f333202e778a
152837,K-HERB01,HERBERT PARK,SKYLINE TERRACE,BURLEIGH HEADS,173030,GOLD COAST CONSERVATION ESTATE,ENVIRONMENTAL RESERVE,GCCC,ebd0eddd-4bef-4876-a79d-8b8b6cf4b453
152838,K-BOOWAG,BOOWAGGAN PARK,BOOWAGGAN ROAD,MERRIMAC,14146,OPEN SPACE PARKS,LOCAL RECREATION PARK,GCCC,0f2c803f-e3e7-49b0-be69-262e4d739dbf
152839,K-BORONI,BORONIA PARK,147 ALLAMBIE AVENUE,BROADBEACH WATERS,7853,OPEN SPACE PARKS,LOCAL RECREATION PARK,GCCC,c86c8357-8d15-4f62-bc64-6ff6dd100292
152840,F-SFGCCY,GOLD COAST CYCLE CENTRE,1 HOPE DRIVE,NERANG,77456,SPORTS PARKS,SPECIALISED SPORTS PARK,GCCC,f54a11a6-ab1b-4676-9ad7-72e2bd9bad1f
152841,K-GOLDMA,GOLD MARKET DR RESERVE,EQUINE COURT,BUNDALL,40093,GOLD COAST CONSERVATION ESTATE,GENERAL RESERVE,GCCC,816c6ee5-fefa-4086-a3f3-b10a96fd7183
152842,K-GOLDMA,GOLD MARKET DR RESERVE,EQUINE COURT,BUNDALL,19835,OPEN SPACE PARKS,OPEN SPACE LINKAGE,GCCC,01e94721-7ed1-458a-ab3a-64204ede252f
152843,K-GOLDMA,GOLD MARKET DR RESERVE,EQUINE COURT,BUNDALL,21804,OPEN SPACE PARKS,WATER BODY,GCCC,dd87dd02-484d-4157-ac5a-ab955097e2bc
152844,K-SKYLIN,SKYLINE TERRACE RESERVE,4 PLANTATION ROAD,BURLEIGH HEADS,2986,UTILITY RESERVE,DRAINAGE RESERVE,GCCC,9a76cbcb-13cf-49b3-80b0-651de75325fc
152845,K-WYANGA,WYANGAN VALLEY PARK,2 EMERSON DRIVE,MUDGEERABA,268150,GOLD COAST CONSERVATION ESTATE,BUSHLAND RESERVE,GCCC,e6f77f52-af0d-4527-abea-c56201f329c3
152846,K-WRECKE,WRECKERS RESERVE,PACIFIC HIGHWAY,BURLEIGH HEADS,13489,GOLD COAST CONSERVATION ESTATE,GENERAL RESERVE,GCCC,b79e3707-4532-432e-bff3-deb22d96a1ef
152847,K-WYBERB,WYBERBA STREET PARKLANDS,TOOLONA STREET,TUGUN,1693,COMMUNITY FACILITIES,CULTURAL FACILITIES,GCCC,362067c1-1ecd-47f9-b427-8ea8ddaa2948
152848,K-WYBERB,WYBERBA STREET PARKLANDS,TOOLONA STREET,TUGUN,7064,OPEN SPACE PARKS,CITY RECREATION PARK,GCCC,ab6b28a4-88b5-4503-9212-9183201b88b9
152849,K-YALDAR,YALDARA PARK,2A YALDARA STREET,PACIFIC PINES,3201,OPEN SPACE PARKS,LOCAL RECREATION PARK,GCCC,abbf5002-968b-4ef7-b081-402560179c5d
152850,K-YALDAR,YALDARA PARK,2A YALDARA STREET,PACIFIC PINES,225,OPEN SPACE PARKS,AMENITY SPACE,GCCC,e4cb4663-8785-4304-b15c-e4665ed2d33e
152851,F-CCVARS,VARSITY LAKES COMMUNITY CENTRE,MATTOCKS ROAD,VARSITY LAKES,2872,COMMUNITY FACILITIES,CENTRE / HALL,GCCC,7f3eb703-0c1a-4599-91b3-c07c3c38cf92
152852,K-SOME02,SOMERSET PARK,84 SWANTON DRIVE,MUDGEERABA,12016,UTILITY RESERVE,DRAINAGE RESERVE,GCCC,c9782398-d0c1-4670-a2e2-c1673f147c9a
152853,K-SONSAN,SONS AND DAUGHTERS PARK,180 MONACO STREET,BROADBEACH WATERS,7019,OPEN SPACE PARKS,OPEN SPACE LINKAGE,GCCC,047e386b-7392-4fe3-b3ed-a21fc647c8d1
152854,K-SONSAN,SONS AND DAUGHTERS PARK,180 MONACO STREET,BROADBEACH WATERS,7005,GOLD COAST CONSERVATION ESTATE,GENERAL RESERVE,GCCC,bdd84b00-c5f1-4f11-a4d9-12f085bd0bfe
152855,K-BUSH02,BUSHLAND PLACE RESERVE,7A BUSHLAND PLACE,MAUDSLAND,3564,UTILITY RESERVE,DRAINAGE RESERVE,GCCC,ccbc1017-bd51-4b01-afdf-133855645095
152856,K-ALLENB,ALLENBY PARK,76 MANLY DRIVE,ROBINA,999,OPEN SPACE PARKS,AMENITY SPACE,GCCC,c66cff7b-3e80-4912-9a67-12f6169f4d08
152857,K-SANDYC,SANDY CREEK CONSERVATION PARK,DARLINGTON DRIVE,YATALA,63379.98261543,GOLD COAST CONSERVATION ESTATE,BUSHLAND RESERVE,GCCC,79fb6a46-ac45-40fb-b13f-084c303ba51e
152858,K-SEARSR,SEARS ROAD RESERVE,22 SEARS ROAD,YATALA,121294.92284779,UTILITY RESERVE,DRAINAGE RESERVE,GCCC,a4169ac5-5295-4872-a352-725e3d1e2f31
152859,K-RUFOUS,RUFOUS WHISTLER PARK,RIFLE RANGE ROAD,PIMPAMA,65567.90209753,GOLD COAST CONSERVATION ESTATE,BUSHLAND RESERVE,GCCC,d8edacb5-8693-4ba8-9483-1fd9aba3cd15
152860,K-RUFF03,RUFFLES RD RESERVE WEST,RUFFLES ROAD,WILLOW VALE,81225.44292417,GOLD COAST CONSERVATION ESTATE,ENVIRONMENTAL RESERVE,GCCC,53f60ebb-f6d5-446c-afd1-ca1aee599f74
152861,K-TAMARE,TAMAREE RESERVE,BEAUDESERT BEENLEIGH ROAD,CEDAR CREEK,6192.27287809,UTILITY RESERVE,UTILITY RESERVE,GCCC,d6af283c-501e-43df-8e3d-f06209055c1e
152862,K-TAMARE,TAMAREE RESERVE,BEAUDESERT BEENLEIGH ROAD,CEDAR CREEK,79333,GOLD COAST CONSERVATION ESTATE,BUSHLAND RESERVE,GCCC,7225e8b5-e2bf-4358-bc4c-16ca6280f12f
152863,K-THEDEL,THE DELL PARK,BLACKS ROAD,WILLOW VALE,19689.96002633,GOLD COAST CONSERVATION ESTATE,GENERAL RESERVE,GCCC,a31205e0-9efc-4905-a24a-e1b10c339bbe
152864,K-THEDEL,THE DELL PARK,BLACKS ROAD,WILLOW VALE,3354.88455016,OPEN SPACE PARKS,AMENITY SPACE,GCCC,d9849c07-7b86-481f-88da-79b634d6793a
152865,K-SKYWAT,SKYWATCH PARK,1 SKYWATCH CIRCUIT,REEDY CREEK,3310,OPEN SPACE PARKS,LOCAL RECREATION PARK,GCCC,4bd2ad7c-a748-4a00-84bd-a698649c2d36
152866,K-SMITHP,SMITH PARK,46 VISCOUNT DRIVE,TALLAI,53416,UTILITY RESERVE,UTILITY RESERVE,GCCC,7b1c3163-dc41-44da-a64a-1e41f8e0093b
152867,K-SMITHS,SMITH STREET CORRIDOR PARKLANDS,SMITH STREET,PARKWOOD,9190,UTILITY RESERVE,DRAINAGE RESERVE,GCCC,36d8f1f2-1a70-4d5f-b152-1d3e9a7c9c64
152868,K-SMITHS,SMITH STREET CORRIDOR PARKLANDS,SMITH STREET,PARKWOOD,1569,UTILITY RESERVE,UTILITY RESERVE,GCCC,d1b0a8e4-a3ba-4205-9214-35b20695446e
152869,K-SUNS02,SUNSHINE BOULEVARD RESERVES EAST,247 SUNSHINE BOULEVARDE,MERMAID WATERS,12387,OPEN SPACE PARKS,AMENITY SPACE,GCCC,d03764af-04b4-4fa0-84af-632e9b0c95fc
152870,K-SUCCES,SUCCESS PARK,ACHIEVEMENT DRIVE,ORMEAU,6990,OPEN SPACE PARKS,LOCAL RECREATION PARK,GCCC,6241f247-5e67-47f0-89c3-e07da8e3d1ac
152871,K-GLOS03,GLOSSY BLACK RESERVE,GOLDEN GROVE BOULEVARD,REEDY CREEK,7464,UTILITY RESERVE,ACCESS LINKAGE,GCCC,c2114dc8-c8b1-4be3-82f0-21333590642c
152872,K-UPPE06,UPPER MUDGEERABA CONSERVATION AREA,151 GLENMORE DRIVE,BONOGIN,2644829,GOLD COAST CONSERVATION ESTATE,CONSERVATION AREA,GCCC,a33f966e-6cd4-4b30-b509-66ee5f44864d
152873,K-UPPE07,UPPER ORMEAU CONSERVATION AREA,UPPER ORMEAU ROAD,KINGSHOLME,748426,GOLD COAST CONSERVATION ESTATE,CONSERVATION AREA,GCCC,7b3d8481-5551-46c2-9927-fa82fdad6865
152874,K-UPPE08,UPPER ORMEAU RD RESERVE,478 UPPER ORMEAU ROAD,KINGSHOLME,12166,GOLD COAST CONSERVATION ESTATE,BUSHLAND RESERVE,GCCC,c0be136b-39c1-4086-8937-129308c57ea0
152875,K-YATCOM,YATALA COMMUNITY PARK,STANMORE ROAD,YATALA,37200,OPEN SPACE PARKS,AMENITY SPACE,GCCC,88f5c49e-151c-4266-aa52-3dd6e9333231
152876,K-JOHNRO,JOHN ROGERS PARKLANDS,397 GOLD COAST SPRINGBROOK ROAD,MUDGEERABA,237134,GOLD COAST CONSERVATION ESTATE,ENVIRONMENTAL RESERVE,GCCC,98be38e5-7858-47e2-9feb-56b3ae11894b
152877,K-HIGHFI,HIGHFIELD PARK,23 HIGHFIELD DRIVE,MERRIMAC,10456,GOLD COAST CONSERVATION ESTATE,GENERAL RESERVE,GCCC,5b26ae5d-e216-4391-832d-815c35c44868
152878,K-SALVAD,SALVADO RESERVE,TASKE RISE,PACIFIC PINES,3341,OPEN SPACE PARKS,LOCAL RECREATION PARK,GCCC,e19dfcc9-2b2f-419b-9a05-d23efb6287a1
152879,K-ALLING,ALLINGA PARK,125 HANSFORD ROAD,COOMBABAH,11250,OPEN SPACE PARKS,OPEN SPACE LINKAGE,GCCC,c1baa246-55ca-4b47-937c-d66505f6c5e8
152880,K-ANDREW,ANDREWS RESERVE,UNNAMED ROAD,REEDY CREEK,108479,GOLD COAST CONSERVATION ESTATE,ENVIRONMENTAL RESERVE,GCCC,4651eddb-6aaf-4094-99fc-4d5d7463498f
152881,K-VIAR01,VIA ROMA EAST PARK,2 VIA ROMA STREET,SURFERS PARADISE,373,OPEN SPACE PARKS,AMENITY SPACE,GCCC,cd6179a1-d4a8-4e4b-9f6a-931ea7135f3e
152882,K-VILL03,VILLAGE WAY PARK,45 AQUA PROMENADE,TALLEBUDGERA,14566,OPEN SPACE PARKS,LOCAL RECREATION PARK,GCCC,9c4cd106-47c0-4fff-8411-48e6dace3990
152883,K-PETWOR,PETWORTH COURT RESERVE,905 PETWORTH COURT,ARUNDEL,7982,UTILITY RESERVE,UTILITY RESERVE,GCCC,f5c4e3f6-1340-4b9a-85c4-0bfc78fb96f5
152884,K-RIVE05,RIVERGLENN PARK,12 COCKATIEL PLACE,CURRUMBIN WATERS,4557,UTILITY RESERVE,DRAINAGE RESERVE,GCCC,44fb3819-1bea-4a9e-85eb-37f6263c8719
152885,K-RIVE07,RIVERPARK RESERVE,6 RIVERPARK DRIVE,NERANG,6533,GOLD COAST CONSERVATION ESTATE,BUSHLAND RESERVE,GCCC,f1586903-8af0-482c-8b6f-a3411f4087a8
152886,K-GAWAIN,GAWAIN DRIVE RESERVE,GAWAIN DRIVE,ORMEAU,14476,GOLD COAST CONSERVATION ESTATE,GENERAL RESERVE,GCCC,7aca95fe-5b03-4b17-97f1-48b787258ef6
152887,K-LUMEAH,LUMEAH AVENUE RESERVE,7A LUMEAH AVENUE,PIMPAMA,60576,GOLD COAST CONSERVATION ESTATE,BUSHLAND RESERVE,GCCC,cfed4ef5-7101-4146-9401-91aa413e337e
152888,K-ROUGHT,ROUGHTON PARK,MARINE PARADE,COOLANGATTA,34516.4,OPEN SPACE PARKS,CITY RECREATION PARK,GCCC,5c05c1af-86a4-4983-9549-bc8028f158be
152889,K-RUFOUS,RUFOUS WHISTLER PARK,RIFLE RANGE ROAD,PIMPAMA,15599,UTILITY RESERVE,DRAINAGE RESERVE,GCCC,bf3d6178-08ee-407d-853a-459275678b3c
152890,K-RIOMAR,RIO MARLIN PARK,84 TOWNSON AVENUE,PALM BEACH,379,OPEN SPACE PARKS,AMENITY SPACE,GCCC,a9db24d7-86d5-48b1-b235-610821cf3365
152891,K-RIVERB,RIVERBEND PARK,72A RIVERVIEW ROAD,NERANG,1980,OPEN SPACE PARKS,AMENITY SPACE,GCCC,85e6de3d-d29d-45a5-8892-44e3690074fc
152892,K-JULESL,JULES LOUIS TARDENT PARK,TRAFFIC ISLAND ON TURPIN ROAD,LABRADOR,942,OPEN SPACE PARKS,AMENITY SPACE,GCCC,f639d15b-47a3-42da-abaa-dda44136528f
152893,K-TALLOW,TALLOWWOOD PARK,ROSE VALLEY DRIVE,UPPER COOMERA,35690.12783113,UTILITY RESERVE,DRAINAGE RESERVE,GCCC,6daeb7a3-7bd5-434d-9a4d-6d7d23f45a52
152894,K-TWIGGY,TWIGGY MYRTLE PARK,1 ADELONG CLOSE,UPPER COOMERA,13356.75063069,UTILITY RESERVE,DRAINAGE RESERVE,GCCC,0db7b0cf-4747-49c3-9734-74474908f1a6
152895,K-RUFF02,RUFFLES RD RESERVE NORTH,RUFFLES ROAD,WILLOW VALE,15294.63681378,GOLD COAST CONSERVATION ESTATE,BUSHLAND RESERVE,GCCC,db818167-0a73-42b9-9490-274e26d5ba71
152896,K-RUFF02,RUFFLES RD RESERVE NORTH,RUFFLES ROAD,WILLOW VALE,8685.84733613,OPEN SPACE PARKS,LOCAL RECREATION PARK,GCCC,93ff5f4d-1916-4e8a-93c9-f38ba4b86eb1
152897,K-RUFF02,RUFFLES RD RESERVE NORTH,RUFFLES ROAD,WILLOW VALE,3838.96683597,OPEN SPACE PARKS,LOCAL RECREATION PARK,GCCC,5f756e34-22b7-44f1-a203-98da6472332c
152898,K-RUFF01,RUFFLES RD RESERVE EAST,RUFFLES ROAD,WILLOW VALE,349262.29655826,GOLD COAST CONSERVATION ESTATE,ENVIRONMENTAL RESERVE,GCCC,548ff6b8-a50a-48a5-9fe0-da6051617a77
152899,K-RUFF01,RUFFLES RD RESERVE EAST,RUFFLES ROAD,WILLOW VALE,19269.80025993,OPEN SPACE PARKS,LOCAL RECREATION PARK,GCCC,cbdf1c22-8dda-4fff-b7de-73df533ace15
152900,K-RUFF01,RUFFLES RD RESERVE EAST,RUFFLES ROAD,WILLOW VALE,3585.97052173,OPEN SPACE PARKS,LOCAL RECREATION PARK,GCCC,e6ae9516-fabf-4b49-af18-6f985d04f24c
152901,K-RUFF01,RUFFLES RD RESERVE EAST,RUFFLES ROAD,WILLOW VALE,5352.48570727,OPEN SPACE PARKS,LOCAL RECREATION PARK,GCCC,4c2deebb-22e4-4243-a20e-fdd976456bcd
152902,K-RUFF01,RUFFLES RD RESERVE EAST,RUFFLES ROAD,WILLOW VALE,10793.9236295,OPEN SPACE PARKS,LOCAL RECREATION PARK,GCCC,a3e12222-4049-43ad-bd06-a26891cc541f
152903,K-HARTPA,HART PARK,1 ALASKA AVENUE,BROADBEACH WATERS,11316,OPEN SPACE PARKS,LOCAL RECREATION PARK,GCCC,a2e47193-ddcc-42e6-96cc-0991f18ab4a3
152904,K-HELE02,HELENSVALE ROAD EASTERN BUFFER,HELENSVALE ROAD,HELENSVALE,3356,OPEN SPACE PARKS,AMENITY SPACE,GCCC,aba0dd69-bc9f-483f-a79f-d9f31e3ae4be
152905,K-SIDB01,SID BIGG PARK,2A TALLAI ROAD,TALLAI,30143,SPORTS PARKS,DISTRICT SPORTS PARK,GCCC,13a24ce8-3f0e-4461-9764-dd2023f7f767
152906,K-SIERRA,SIERRA PARK,9 SIERRA PLACE,UPPER COOMERA,2159,OPEN SPACE PARKS,AMENITY SPACE,GCCC,ea59602f-3522-44f9-a70d-365e70937bbc
152907,K-SIERRA,SIERRA PARK,9 SIERRA PLACE,UPPER COOMERA,3235,UTILITY RESERVE,DRAINAGE RESERVE,GCCC,0eb16691-084c-4872-bbcd-4cadd1ebaef5
152908,F-CCABLE,SIGHT LOSS CENTRE SOUTHPORT,13 SYKES COURT,SOUTHPORT,994,COMMUNITY FACILITIES,CENTRE / HALL,GCCC,ec63290b-fcd3-4082-ba89-39adffba38f4
152909,K-SILVAB,SILVABANK PARK,43 SILVABANK DRIVE,VARSITY LAKES,890,OPEN SPACE PARKS,AMENITY SPACE,GCCC,d5d1ca45-8b26-4c44-8bc1-40d6eb57bf8f
152910,K-SILV01,SILVER BRIDLE PARK,NERANG ROAD,MOLENDINAR,6421,GOLD COAST CONSERVATION ESTATE,GENERAL RESERVE,GCCC,ea450cec-ad74-431c-9623-5de7940f1201
152911,K-SILV01,SILVER BRIDLE PARK,NERANG ROAD,MOLENDINAR,14291,OPEN SPACE PARKS,LOCAL RECREATION PARK,GCCC,2bee87f1-3f39-4b0c-90a2-91df70b071d5
152912,K-SILV03,SILVER PINE CRESCENT PARK,22 BARR'S AVENUE,OXENFORD,2827,OPEN SPACE PARKS,LOCAL RECREATION PARK,GCCC,fb805d77-565b-4f40-82ee-24c16ff8e89f
152913,K-WOODBR,WOODBRIDGE RESERVE,12 MCNAMARA COURT,OXENFORD,1060,UTILITY RESERVE,UTILITY RESERVE,GCCC,fc5e8bd5-d63d-4491-bbb9-0c511de48abf
152914,K-WYANGA,WYANGAN VALLEY PARK,2 EMERSON DRIVE,MUDGEERABA,27743,OPEN SPACE PARKS,AMENITY SPACE,GCCC,d13d295c-9b22-48cd-9130-e7dd0c9f6c06
152915,K-VIEWCR,VIEW CRESCENT PARK,VIEW CRESCENT,WONGAWALLAN,37423.8,GOLD COAST CONSERVATION ESTATE,CONSERVATION AREA,GCCC,e7f1e9ba-9f15-4f49-9cd7-5103194a2e90
152916,K-STREAM,STREAM RESERVE,PACIFIC HIGHWAY,STAPYLTON,11849,OPEN SPACE PARKS,AMENITY SPACE,GCCC,98cfce30-7890-4a66-a437-fd4b2c085709
152917,K-STRING,STRINGYBARK DRIVE PARK,47A HIGHCREST CIRCUIT,MOLENDINAR,3385,OPEN SPACE PARKS,LOCAL RECREATION PARK,GCCC,15b7fe96-35b7-4e8e-8fd4-e02960d6b962
152918,K-SILV02,SILVEREYE PARK,SILVEREYE CIRCUIT,GILSTON,35892.8,UTILITY RESERVE,DRAINAGE RESERVE,GCCC,792f829a-daf4-42f0-8fda-7f1778a5b2e9
152919,K-SOUTHP,SOUTHPORT RESERVE,SMITH STREET,SOUTHPORT,14857,OPEN SPACE PARKS,AMENITY SPACE,GCCC,f9e8d862-10cc-4e8d-bc2a-7bd619a397cd
152920,K-SOVE01,SOVEREIGN DR LITTLE RESERVE,18 SOVEREIGN DRIVE,MERMAID WATERS,626,OPEN SPACE PARKS,AMENITY SPACE,GCCC,2212eead-b704-41cb-a8a2-c5b2f36cdb3d
152921,K-RUNA01,RUNAWAY BAY LIONS PARK,LIMETREE PARADE,RUNAWAY BAY,31263,OPEN SPACE PARKS,LOCAL RECREATION PARK,GCCC,9fd5a31c-3250-402c-968f-8277fca55d70
152922,K-SALEYA,SALEYA DRIVE DRAINAGE RESERVE,31 AZZURRA DRIVE,VARSITY LAKES,7404,OPEN SPACE PARKS,OPEN SPACE LINKAGE,GCCC,42fd9fcb-3752-4ef3-8cb6-8e79f0fc4862
152923,K-SANTAI,SANTA ISABEL BOULEVARD RESERVE,PENRHYN STREET,PACIFIC PINES,2327,OPEN SPACE PARKS,AMENITY SPACE,GCCC,ae7c25e2-409e-4b93-9615-29952837777d
152924,K-SARAPA,SARA PARK,SARA STREET,ASHMORE,3971,OPEN SPACE PARKS,LOCAL RECREATION PARK,GCCC,9c73c4fd-8240-47f8-97ae-ce9d56a2a630
152925,K-WRIG01,WRIGHTS PLACE RESERVE,2 WRIGHTS PLACE,ARUNDEL,471,OPEN SPACE PARKS,AMENITY SPACE,GCCC,5035bdc2-9fd0-4578-9653-af8a201f5f00
152926,K-GEMVAL,GEMVALE PARK,86 GEMVALE ROAD,REEDY CREEK,57771,GOLD COAST CONSERVATION ESTATE,BUSHLAND RESERVE,GCCC,4b715e5e-43a9-4142-88c1-98a89fa7ac6c
152927,K-NINGAL,NINGALOO DRIVE PARK,57 NINGALOO DRIVE,PIMPAMA,971.25683053,OPEN SPACE PARKS,OPEN SPACE LINKAGE,GCCC,1779f252-6c23-409c-b996-5931fb089da8
152928,K-CLOV02,CLOVERSIDE PARK,WHITTINGTON WAY,MAUDSLAND,87705,GOLD COAST CONSERVATION ESTATE,ENVIRONMENTAL RESERVE,GCCC,5435c38d-64ef-4be7-89b0-3115cb2cb2a6
